,rmse,accuracy
"(0.01, 10)",2.000406443287591,0.45486552567237165
"(0.01, 50)",1.1917061904471673,0.529682151589242
"(0.01, 100)",1.145997403249901,0.5491442542787286
"(0.01, 150)",1.1426027387250168,0.5506112469437653
"(0.01, 200)",1.1496725209855851,0.5530562347188264
"(0.05, 10)",1.4434996273018388,0.46552567237163817
"(0.05, 50)",1.1734117580979768,0.5193154034229829
"(0.05, 100)",1.1376151613612238,0.5227383863080685
"(0.05, 150)",1.1273846184116054,0.5253789731051345
"(0.05, 200)",1.126484862101366,0.5247921760391198
"(0.1, 10)",1.313761679515499,0.47031784841075797
"(0.1, 50)",1.1993543353530096,0.4856723716381418
"(0.1, 100)",1.1819040147663953,0.48469437652811737
"(0.1, 150)",1.1762081273602463,0.48772616136919317
"(0.1, 200)",1.1757151278078908,0.48684596577017114
"(0.15, 10)",1.2505736647190677,0.47853300733496335
"(0.15, 50)",1.2064715073362122,0.47227383863080685
"(0.15, 100)",1.1995677642356175,0.47442542787286063
"(0.15, 150)",1.1970921065201758,0.47119804400977994
"(0.15, 200)",1.1965216508230547,0.47227383863080685
