"(regParam, rank)",rmse,accuracy,converage_k,split
"(0.01, 10)",1.035542287204851,0.6588165151289312,0.4052718286655684,0.75_0.25
"(0.01, 50)",1.0726532241047297,0.6201520345804143,0.4305665767338518,0.75_0.25
"(0.01, 100)",1.0042934331518112,0.632434043821732,0.43145788001243396,0.75_0.25
"(0.01, 150)",0.9694392400749257,0.6439409748099568,0.4345565749235474,0.75_0.25
"(0.01, 200)",0.9439813799868934,0.6554479057981816,0.4398389742060534,0.75_0.25
"(0.05, 10)",0.9668865371492532,0.6502906543449098,0.40037922987164526,0.75_0.25
"(0.05, 50)",0.9799845645106783,0.6224772693396929,0.4195865451997197,0.75_0.25
"(0.05, 100)",0.9733822399766779,0.6199135489640781,0.4286231884057971,0.75_0.25
"(0.05, 150)",0.9648088667932859,0.6222685944253987,0.4309782608695652,0.75_0.25
"(0.05, 200)",0.9627666400828157,0.6239379937397526,0.4356650960492932,0.75_0.25
"(0.1, 10)",0.8987608443678562,0.6641824414964972,0.39911276473955354,0.75_0.25
"(0.1, 50)",0.9061454330504942,0.6481740944999255,0.40840415486307835,0.75_0.25
"(0.1, 100)",0.9073073908811969,0.6464748844835296,0.4155615913085157,0.75_0.25
"(0.1, 150)",0.9072589079132621,0.6455507527202266,0.41304696265427154,0.75_0.25
"(0.1, 200)",0.9064374363548274,0.645043970785512,0.4140813374055618,0.75_0.25
"(0.15, 10)",0.8799932367088593,0.6659114622149351,0.4024024024024024,0.75_0.25
"(0.15, 50)",0.883075900982596,0.6582501117901327,0.40636200716845877,0.75_0.25
"(0.15, 100)",0.8835854174543697,0.655835444924728,0.4046511627906977,0.75_0.25
"(0.15, 150)",0.8841276362324877,0.6561037412431062,0.4062923377991871,0.75_0.25
"(0.15, 200)",0.8840437320041465,0.6560143091369802,0.4067490207893944,0.75_0.25
"(0.01, 10)",1.1304185376574207,0.6279372197309417,0.329153605015674,0.5_0.5
"(0.01, 50)",1.1157573182207894,0.600134529147982,0.3441657579062159,0.5_0.5
"(0.01, 100)",1.0460348232859709,0.6117488789237668,0.3360480068581226,0.5_0.5
"(0.01, 150)",1.0024590716630908,0.6271748878923766,0.34479209551255663,0.5_0.5
"(0.01, 200)",0.9833232698347136,0.6363677130044844,0.34406237504998,0.5_0.5
"(0.05, 10)",1.0586828202383274,0.6147085201793722,0.31405485860089305,0.5_0.5
"(0.05, 50)",1.0434359347021862,0.5953363228699552,0.3408801831595014,0.5_0.5
"(0.05, 100)",1.033871577741004,0.5965470852017937,0.3425328862522569,0.5_0.5
"(0.05, 150)",1.0312839295098266,0.5965022421524664,0.3485444531864674,0.5_0.5
"(0.05, 200)",1.0233402695819227,0.5993273542600897,0.33922171018945213,0.5_0.5
"(0.1, 10)",0.9590341548501565,0.635067264573991,0.3205338809034908,0.5_0.5
"(0.1, 50)",0.9669452234970156,0.6170403587443947,0.3213955637707948,0.5_0.5
"(0.1, 100)",0.9667341497980401,0.6179372197309417,0.3252108716026242,0.5_0.5
"(0.1, 150)",0.9687090554207687,0.612914798206278,0.3268362253387212,0.5_0.5
"(0.1, 200)",0.9659665808154541,0.615695067264574,0.3257629524485451,0.5_0.5
"(0.15, 10)",0.919852581971918,0.6466816143497758,0.3173461231015188,0.5_0.5
"(0.15, 50)",0.9247716065422056,0.6371300448430494,0.3235730956927647,0.5_0.5
"(0.15, 100)",0.9247108672567245,0.6370403587443946,0.3180948330852647,0.5_0.5
"(0.15, 150)",0.9265335313846447,0.6337219730941704,0.31995708154506436,0.5_0.5
"(0.15, 200)",0.9262752571795875,0.6352914798206278,0.3222269991401548,0.5_0.5
"(0.01, 10)",1.3479110262880167,0.575208913649025,0.212001579155152,0.25_0.75
"(0.01, 50)",1.2546779851657017,0.5406685236768802,0.21006864988558352,0.25_0.75
"(0.01, 100)",1.1450224514439693,0.5629526462395543,0.21068376068376068,0.25_0.75
"(0.01, 150)",1.1054771638629983,0.5792943361188486,0.20471161657189277,0.25_0.75
"(0.01, 200)",1.0808177092228894,0.5919220055710307,0.20537124802527645,0.25_0.75
"(0.05, 10)",1.2197365107573885,0.5618384401114206,0.20296362819937136,0.25_0.75
"(0.05, 50)",1.165516852406386,0.5433611884865367,0.21306032097399003,0.25_0.75
"(0.05, 100)",1.1435138769225737,0.5519034354688951,0.22782037239868566,0.25_0.75
"(0.05, 150)",1.1333554748624903,0.5531104921077066,0.21893491124260356,0.25_0.75
"(0.05, 200)",1.1321847716821414,0.5538532961931291,0.22330097087378642,0.25_0.75
"(0.1, 10)",1.0932265614834662,0.582544103992572,0.194633730834753,0.25_0.75
"(0.1, 50)",1.0948134589876737,0.5615598885793872,0.21962616822429906,0.25_0.75
"(0.1, 100)",1.0886300000032616,0.5606313834726091,0.21618798955613577,0.25_0.75
"(0.1, 150)",1.0880958510216687,0.5608170844939647,0.212532637075718,0.25_0.75
"(0.1, 200)",1.0898403945604052,0.5602599814298979,0.20802919708029197,0.25_0.75
"(0.15, 10)",1.0226909364959602,0.6051996285979573,0.19485148514851486,0.25_0.75
"(0.15, 50)",1.0285851470553353,0.5857010213556174,0.20432043204320433,0.25_0.75
"(0.15, 100)",1.0278950135988094,0.5863509749303621,0.2015294646873594,0.25_0.75
"(0.15, 150)",1.0289522587091053,0.5852367688022284,0.20503432494279175,0.25_0.75
"(0.15, 200)",1.029965284093704,0.5836583101207057,0.2002749770852429,0.25_0.75
