baseline,userbased,itembased,modelbased
0.203,0.241,0.305,0.397
0.329,0.387,0.445,0.553
0.462,0.525,0.572,0.664
0.605,0.644,0.684,0.755
0.74,0.775,0.791,0.835
0.815,0.834,0.839,0.871
0.852,0.869,0.88,0.9
0.878,0.894,0.899,0.924
0.901,0.918,0.921,0.94
0.927,0.937,0.94,0.954
0.938,0.947,0.947,0.961
0.946,0.956,0.957,0.967
0.954,0.966,0.963,0.972
0.962,0.974,0.973,0.976
0.968,0.978,0.977,0.979
0.971,0.98,0.979,0.982
0.974,0.981,0.98,0.985
0.976,0.984,0.981,0.987
0.98,0.989,0.985,0.991
0.983,0.991,0.987,0.993
0.985,0.991,0.987,0.995
0.986,0.991,0.988,0.995
0.989,0.992,0.99,0.995
0.989,0.993,0.992,0.997
0.992,0.994,0.993,0.997
0.992,0.995,0.995,0.997
0.992,0.996,0.995,0.997
0.993,0.996,0.995,0.997
0.995,0.997,0.996,0.998
0.996,0.997,0.996,0.998
0.996,0.998,0.997,0.998
0.997,0.998,0.997,0.998
0.997,0.998,0.998,0.999
0.997,0.998,0.998,0.999
0.997,0.999,0.998,0.999
0.997,0.999,0.999,0.999
0.997,0.999,0.999,0.999
0.997,0.999,0.999,0.999
0.997,1.0,0.999,0.999
0.999,1.0,0.999,0.999
0.999,1.0,1.0,0.999
0.999,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
