,train,test,split
rmse,0.7065597256131172,0.8765935605448183,0.75_0.25
accuracy,0.8456881728028643,0.7685910915694896,0.75_0.25
coverage_user,0.4128005766953298,0.0828489225529916,0.75_0.25
coverage_item,0.29022403258655805,0.18329718004338394,0.75_0.25
rmse,0.6496506410466616,0.9152217205233172,0.5_0.5
accuracy,0.859146775326931,0.7517637068827026,0.5_0.5
coverage_user,0.27495959543298054,0.2432941698071381,0.5_0.5
coverage_item,0.2194616977225673,0.26502145922746784,0.5_0.5
rmse,0.540237846746631,1.009127860325635,0.25_0.75
accuracy,0.8727697464197447,0.7052635459807548,0.25_0.75
coverage_user,0.11148095601877114,0.36802133457012,0.25_0.75
coverage_item,0.15679824561403508,0.30583058305830585,0.25_0.75
