"(regParam, rank)",rmse,accuracy,coverage_user,coverage_item,split
"(0.01, 10)",1.0170394892342605,0.7491168141076173,0.01125776397515528,0.07231920199501247,0.75_0.25
"(0.01, 50)",1.047502158221239,0.7226942279057545,0.010896130346232179,0.07107231920199501,0.75_0.25
"(0.01, 100)",0.9776389069836219,0.7535546407404163,0.011361410381978453,0.07614213197969544,0.75_0.25
"(0.01, 150)",0.9495265230418378,0.7624594902338618,0.011479837931699788,0.0792838874680307,0.75_0.25
"(0.01, 200)",0.9326333329210821,0.7672184753729818,0.011348464619492658,0.07958921694480103,0.75_0.25
"(0.05, 10)",0.9516601834973052,0.7492919914747015,0.01067476251101753,0.07493540051679587,0.75_0.25
"(0.05, 50)",0.9599713981168352,0.728533473475227,0.011598746081504702,0.07460732984293193,0.75_0.25
"(0.05, 100)",0.9533977402329825,0.7329129076523313,0.011795681937862033,0.07509881422924901,0.75_0.25
"(0.05, 150)",0.9430861933691641,0.7383142098040933,0.011649677553567713,0.07621550591327202,0.75_0.25
"(0.05, 200)",0.9459504639017433,0.7361244927155411,0.012268008807801196,0.07611548556430446,0.75_0.25
"(0.1, 10)",0.8875227878617363,0.7780794721322005,0.01034386357282639,0.08005249343832022,0.75_0.25
"(0.1, 50)",0.8898610290983331,0.7700213132463286,0.010720781085479084,0.08075370121130551,0.75_0.25
"(0.1, 100)",0.8915793810514965,0.7689994452716709,0.010392609699769052,0.08075370121130551,0.75_0.25
"(0.1, 150)",0.8877650172557017,0.7718606756007124,0.0107095046854083,0.07919463087248323,0.75_0.25
"(0.1, 200)",0.8894367814911474,0.7707512189425126,0.01037463976945245,0.08021390374331551,0.75_0.25
"(0.15, 10)",0.8692471370259723,0.7907214387901084,0.009760102161817021,0.08333333333333333,0.75_0.25
"(0.15, 50)",0.8693859145842362,0.7856704913725147,0.009869027854639365,0.08389715832205684,0.75_0.25
"(0.15, 100)",0.8708280866665405,0.7854369215497358,0.009872670234360583,0.08367071524966262,0.75_0.25
"(0.15, 150)",0.8701976173206641,0.7862544159294619,0.00959852330410706,0.08187919463087248,0.75_0.25
"(0.15, 200)",0.8704914698183132,0.7852033517269569,0.009880875427093915,0.08198924731182795,0.75_0.25
"(0.01, 10)",1.1577493531569432,0.7046529968454258,0.0038635758060218493,0.05694444444444444,0.5_0.5
"(0.01, 50)",1.1094878821822642,0.6998335085874519,0.0037889039242219214,0.05603448275862069,0.5_0.5
"(0.01, 100)",1.05146628996541,0.7220031545741324,0.0034053700065487884,0.05856515373352855,0.5_0.5
"(0.01, 150)",1.0066957572811253,0.7392218717139852,0.003409952008082849,0.05970149253731343,0.5_0.5
"(0.01, 200)",0.9947754101709427,0.7517963547143358,0.003479990057171265,0.06706408345752608,0.5_0.5
"(0.05, 10)",1.0676172100102976,0.7086838415702769,0.0036188178528347406,0.056439942112879886,0.5_0.5
"(0.05, 50)",1.0524700229671602,0.6945758850332983,0.004126351735913489,0.05855855855855856,0.5_0.5
