,train,test,split
rmse,0.821107584935976,0.8945796516963485,0.75_0.25
accuracy,0.8429822391821544,0.8037468935194035,0.75_0.25
coverage_user,0.4328689370485036,0.09270746018440905,0.75_0.25
coverage_item,0.29878048780487804,0.19202518363064008,0.75_0.25
rmse,0.8084534056166799,0.9216391456603658,0.5_0.5
accuracy,0.851054708734217,0.7978013907695133,0.5_0.5
coverage_user,0.2896005870636335,0.2670497261303834,0.5_0.5
coverage_item,0.2286902286902287,0.2773797338792221,0.5_0.5
rmse,0.7845994616618576,0.9808862992697065,0.25_0.75
accuracy,0.8619274130751261,0.779767976306055,0.25_0.75
coverage_user,0.12219301128272538,0.40692711753118843,0.25_0.75
coverage_item,0.16464088397790055,0.323439099283521,0.25_0.75
